id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_populasi,satuan,tahun
1,32,JAWA BARAT,3204,KABUPATEN BANDUNG,25101,EKOR,2013
2,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,35106,EKOR,2013
3,32,JAWA BARAT,3216,KABUPATEN BEKASI,127614,EKOR,2013
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,114192,EKOR,2013
5,32,JAWA BARAT,3207,KABUPATEN CIAMIS,155117,EKOR,2013
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,99996,EKOR,2013
7,32,JAWA BARAT,3209,KABUPATEN CIREBON,9003,EKOR,2013
8,32,JAWA BARAT,3205,KABUPATEN GARUT,84646,EKOR,2013
9,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,73094,EKOR,2013
10,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1424001,EKOR,2013
11,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6261,EKOR,2013
12,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,19850,EKOR,2013
13,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,EKOR,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,122469,EKOR,2013
15,32,JAWA BARAT,3213,KABUPATEN SUBANG,32364,EKOR,2013
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,83158,EKOR,2013
17,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,39998,EKOR,2013
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,76592,EKOR,2013
19,32,JAWA BARAT,3273,KOTA BANDUNG,480,EKOR,2013
20,32,JAWA BARAT,3279,KOTA BANJAR,10950,EKOR,2013
21,32,JAWA BARAT,3275,KOTA BEKASI,7547,EKOR,2013
22,32,JAWA BARAT,3271,KOTA BOGOR,1298,EKOR,2013
23,32,JAWA BARAT,3277,KOTA CIMAHI,218,EKOR,2013
24,32,JAWA BARAT,3274,KOTA CIREBON,1281,EKOR,2013
25,32,JAWA BARAT,3276,KOTA DEPOK,6593,EKOR,2013
26,32,JAWA BARAT,3272,KOTA SUKABUMI,137,EKOR,2013
27,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2633,EKOR,2013
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,26301,EKOR,2014
29,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,35430,EKOR,2014
30,32,JAWA BARAT,3216,KABUPATEN BEKASI,133038,EKOR,2014
31,32,JAWA BARAT,3201,KABUPATEN BOGOR,119775,EKOR,2014
32,32,JAWA BARAT,3207,KABUPATEN CIAMIS,118669,EKOR,2014
33,32,JAWA BARAT,3203,KABUPATEN CIANJUR,101848,EKOR,2014
34,32,JAWA BARAT,3209,KABUPATEN CIREBON,11371,EKOR,2014
35,32,JAWA BARAT,3205,KABUPATEN GARUT,97480,EKOR,2014
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,74798,EKOR,2014
37,32,JAWA BARAT,3215,KABUPATEN KARAWANG,143178,EKOR,2014
38,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5532,EKOR,2014
39,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,19927,EKOR,2014
40,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10029,EKOR,2014
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,148901,EKOR,2014
42,32,JAWA BARAT,3213,KABUPATEN SUBANG,32583,EKOR,2014
43,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,83990,EKOR,2014
44,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,31916,EKOR,2014
45,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,90514,EKOR,2014
46,32,JAWA BARAT,3273,KOTA BANDUNG,532,EKOR,2014
47,32,JAWA BARAT,3279,KOTA BANJAR,3207,EKOR,2014
48,32,JAWA BARAT,3275,KOTA BEKASI,7514,EKOR,2014
49,32,JAWA BARAT,3271,KOTA BOGOR,1750,EKOR,2014
50,32,JAWA BARAT,3277,KOTA CIMAHI,189,EKOR,2014
51,32,JAWA BARAT,3274,KOTA CIREBON,1168,EKOR,2014
52,32,JAWA BARAT,3276,KOTA DEPOK,4881,EKOR,2014
53,32,JAWA BARAT,3272,KOTA SUKABUMI,141,EKOR,2014
54,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2718,EKOR,2014
55,32,JAWA BARAT,3204,KABUPATEN BANDUNG,26311,EKOR,2015
