id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_populasi,satuan,tahun
1,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2548,EKOR,2013
2,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3134,EKOR,2013
3,32,JAWA BARAT,3216,KABUPATEN BEKASI,984,EKOR,2013
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,23733,EKOR,2013
5,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3384,EKOR,2013
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8941,EKOR,2013
7,32,JAWA BARAT,3209,KABUPATEN CIREBON,3285,EKOR,2013
8,32,JAWA BARAT,3205,KABUPATEN GARUT,14754,EKOR,2013
9,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1160,EKOR,2013
10,32,JAWA BARAT,3215,KABUPATEN KARAWANG,469,EKOR,2013
11,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6159,EKOR,2013
12,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2261,EKOR,2013
13,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,EKOR,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,8263,EKOR,2013
15,32,JAWA BARAT,3213,KABUPATEN SUBANG,3012,EKOR,2013
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9086,EKOR,2013
17,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4457,EKOR,2013
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,11343,EKOR,2013
19,32,JAWA BARAT,3273,KOTA BANDUNG,73,EKOR,2013
20,32,JAWA BARAT,3279,KOTA BANJAR,60,EKOR,2013
21,32,JAWA BARAT,3275,KOTA BEKASI,141,EKOR,2013
22,32,JAWA BARAT,3271,KOTA BOGOR,163,EKOR,2013
23,32,JAWA BARAT,3277,KOTA CIMAHI,28,EKOR,2013
24,32,JAWA BARAT,3274,KOTA CIREBON,2,EKOR,2013
25,32,JAWA BARAT,3276,KOTA DEPOK,207,EKOR,2013
26,32,JAWA BARAT,3272,KOTA SUKABUMI,59,EKOR,2013
27,32,JAWA BARAT,3278,KOTA TASIKMALAYA,597,EKOR,2013
