id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_populasi,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,335,EKOR,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,208,EKOR,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1470,EKOR,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2031,EKOR,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,2765,EKOR,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,362,EKOR,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,185,EKOR,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,259,EKOR,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,191,EKOR,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,333,EKOR,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,431,EKOR,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,84,EKOR,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,289,EKOR,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,111,EKOR,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7,EKOR,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,64,EKOR,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3384,EKOR,2013
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,EKOR,2013
19,32,JAWA BARAT,3271,KOTA BOGOR,55,EKOR,2013
20,32,JAWA BARAT,3272,KOTA SUKABUMI,60,EKOR,2013
21,32,JAWA BARAT,3273,KOTA BANDUNG,142,EKOR,2013
22,32,JAWA BARAT,3274,KOTA CIREBON,4,EKOR,2013
23,32,JAWA BARAT,3275,KOTA BEKASI,72,EKOR,2013
24,32,JAWA BARAT,3276,KOTA DEPOK,69,EKOR,2013
25,32,JAWA BARAT,3277,KOTA CIMAHI,781,EKOR,2013
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,396,EKOR,2013
27,32,JAWA BARAT,3279,KOTA BANJAR,105,EKOR,2013
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,357,EKOR,2014
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,209,EKOR,2014
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,854,EKOR,2014
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1956,EKOR,2014
32,32,JAWA BARAT,3205,KABUPATEN GARUT,2765,EKOR,2014
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,373,EKOR,2014
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,95,EKOR,2014
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,365,EKOR,2014
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,203,EKOR,2014
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,353,EKOR,2014
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,425,EKOR,2014
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,84,EKOR,2014
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,300,EKOR,2014
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,116,EKOR,2014
