id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_populasi,satuan,tahun
1,32,JAWA BARAT,3204,KABUPATEN BANDUNG,19531.0,EKOR,2013
2,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11982.0,EKOR,2013
3,32,JAWA BARAT,3216,KABUPATEN BEKASI,21916.0,EKOR,2013
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,32967.0,EKOR,2013
5,32,JAWA BARAT,3207,KABUPATEN CIAMIS,26935.0,EKOR,2013
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,26582.0,EKOR,2013
7,32,JAWA BARAT,3209,KABUPATEN CIREBON,3547.0,EKOR,2013
8,32,JAWA BARAT,3205,KABUPATEN GARUT,30796.0,EKOR,2013
9,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10044.0,EKOR,2013
10,32,JAWA BARAT,3215,KABUPATEN KARAWANG,10861.0,EKOR,2013
11,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,22957.0,EKOR,2013
12,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11843.0,EKOR,2013
13,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,EKOR,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,13414.0,EKOR,2013
15,32,JAWA BARAT,3213,KABUPATEN SUBANG,28816.0,EKOR,2013
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,16673.0,EKOR,2013
17,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,38122.0,EKOR,2013
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,42842.0,EKOR,2013
19,32,JAWA BARAT,3273,KOTA BANDUNG,1228.0,EKOR,2013
20,32,JAWA BARAT,3279,KOTA BANJAR,1270.0,EKOR,2013
21,32,JAWA BARAT,3275,KOTA BEKASI,4078.0,EKOR,2013
22,32,JAWA BARAT,3271,KOTA BOGOR,357.0,EKOR,2013
23,32,JAWA BARAT,3277,KOTA CIMAHI,491.0,EKOR,2013
24,32,JAWA BARAT,3274,KOTA CIREBON,315.0,EKOR,2013
25,32,JAWA BARAT,3276,KOTA DEPOK,2598.0,EKOR,2013
26,32,JAWA BARAT,3272,KOTA SUKABUMI,615.0,EKOR,2013
27,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2169.0,EKOR,2013
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,28198.0,EKOR,2014
29,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6341.0,EKOR,2014
30,32,JAWA BARAT,3216,KABUPATEN BEKASI,22354.0,EKOR,2014
31,32,JAWA BARAT,3201,KABUPATEN BOGOR,41270.0,EKOR,2014
32,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9644.0,EKOR,2014
33,32,JAWA BARAT,3203,KABUPATEN CIANJUR,34347.0,EKOR,2014
34,32,JAWA BARAT,3209,KABUPATEN CIREBON,4167.0,EKOR,2014
35,32,JAWA BARAT,3205,KABUPATEN GARUT,31162.0,EKOR,2014
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10579.0,EKOR,2014
37,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11485.0,EKOR,2014
38,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25390.0,EKOR,2014
39,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12810.0,EKOR,2014
40,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,25489.0,EKOR,2014
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11591.0,EKOR,2014
42,32,JAWA BARAT,3213,KABUPATEN SUBANG,31494.0,EKOR,2014
43,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,16849.0,EKOR,2014
44,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,32516.0,EKOR,2014
45,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,50127.0,EKOR,2014
46,32,JAWA BARAT,3273,KOTA BANDUNG,1554.0,EKOR,2014
47,32,JAWA BARAT,3279,KOTA BANJAR,1740.0,EKOR,2014
48,32,JAWA BARAT,3275,KOTA BEKASI,4212.0,EKOR,2014
49,32,JAWA BARAT,3271,KOTA BOGOR,177.0,EKOR,2014
50,32,JAWA BARAT,3277,KOTA CIMAHI,121.0,EKOR,2014
51,32,JAWA BARAT,3274,KOTA CIREBON,229.0,EKOR,2014
52,32,JAWA BARAT,3276,KOTA DEPOK,2255.0,EKOR,2014
53,32,JAWA BARAT,3272,KOTA SUKABUMI,607.0,EKOR,2014
54,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2369.0,EKOR,2014
55,32,JAWA BARAT,3204,KABUPATEN BANDUNG,28293.0,EKOR,2015
